url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/osconfig/concept-audience,Recommended docs by audience,Audiences for OSConfig docs,,Audiences for OSConfig docs,"As noted inWhat is OSConfig for Linux?, the OSConfig project seeks to make it easier to provision and manage device configuration (and state) through Azure IoT or GitOps practices. This article exists to help direct you to the most important documentation for you, depending on what job you need to accomplish.",2023-03-14T00:00:00.000Z,conceptual,,0.1,False,Audience/navigation helper that routes readers to other docs; no technical details or expert configuration content.,unchanged
https://learn.microsoft.com/en-us/azure/osconfig/concept-commandrunner,About CommandRunner,How to interact with the CommandRunner feature of OSConfig and Azure IoT,Use OSConfig CommandRunner for custom device commands,How to interact with the CommandRunner feature of OSConfig and Azure IoT,"Most device properties exposed by OSConfig are discrete and abstracted from implementation details. For example, when you useHostName.desiredNameto set a device's host name, you don't need to worry about the operating system flavor, about scripting runtime dependencies, or about timing nuances. Sometimes, however, you may want to trade simplicity for flexibility. For example: TheCommandRunnerfeature of OSConfig enables custom configuration and reporting through shell commands/scripts. It also in",2023-06-20T23:51:00.000Z,conceptual,integrations,0.7,True,"Concept article on CommandRunner feature; likely details command payload formats, twin property names, and execution semantics unique to OSConfig.",unchanged
https://learn.microsoft.com/en-us/azure/osconfig/concept-insiders,About preview builds,"About OSConfig preview or ""insiders"" builds",,"About OSConfig preview or ""insiders"" builds","In certain circumstances, you might want to use preview (also known as ""insiders"") builds of OSConfig. For example:",2022-07-28T16:40:00.000Z,conceptual,,0.35,False,"Explains preview/insiders builds usage; mostly process and guidance, not configuration parameters, limits, or troubleshooting mappings.",unchanged
https://learn.microsoft.com/en-us/azure/osconfig/concept-majorchanges,Notable or breaking changes across versions,List of notable breaking changes over time in OSConfig,Track major OSConfig breaking changes over time,List of notable breaking changes over time in OSConfig,"While changes to behavior over time are reflected throughout documentation, release notes, etc. this article's purpose is to provide context for any major changes, particularly changes which require users/developers to modify their behavior.",2022-07-06T16:41:00.000Z,conceptual,configuration,0.6,True,"Lists notable breaking changes that require user/developer behavior changes; likely includes specific version numbers, property name changes, and behavior differences that are expert-level product knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/osconfig/concept-plain-desired-reported-vs-dtdl-enhanced,About DTDL and non-DTDL tools,"What OSConfig users need to know about ""plain desired/reported"" vs ""DTDL enhanced"" toolchains",,"What OSConfig users need to know about ""plain desired/reported"" vs ""DTDL enhanced"" toolchains","When reading OSConfig docs and trying out scenarios through different tools, it can be helpful to understand that in the Azure IoT ecosystem there are two perspectives for describing twin contents.",2022-10-03T22:52:00.000Z,conceptual,,0.45,False,"Conceptual explanation of plain desired/reported vs DTDL-enhanced toolchains; primarily conceptual mapping, not a structured configuration reference.",unchanged
https://learn.microsoft.com/en-us/azure/osconfig/howto-customconfigreport,Custom config and reporting,Custom configuration and reporting with Azure IoT and OSConfig,Implement custom configuration and reporting with OSConfig CommandRunner,Custom configuration and reporting with Azure IoT and OSConfig,"Important Version 1.0.3 (published 28 June 2022) includes breaking changes to member names which may impact existing users. For more information, see:Member names transition from PascalCase to camelCase in version 1.0.3 This article is designed to support people whoprovision or manage deviceswith Azure IoT. If that doesn't sound like you, consider taking a look atAudiences for OSConfig documentation. TheCommandRunner-->RunCommandfeature allows to you trade away some simplicity to gain flexibilit",2022-10-03T18:37:00.000Z,how-to,integrations,0.7,True,"Describes CommandRunner and custom configuration/reporting; includes product-specific behaviors, property names, and trade-offs, plus versioned naming changes.",unchanged
https://learn.microsoft.com/en-us/azure/osconfig/howto-deviceinfo,"Device info (OS, CPU, etc.)",Report hardware and OS information with Azure IoT and OSConfig,Report device hardware and OS info with OSConfig,Report and inventory hardware and OS information with Azure IoT and OSConfig,"Important Version 1.0.3 (published 28 June 2022) includes breaking changes to member names which may impact existing users. For more information, see:Member names transition from PascalCase to camelCase in version 1.0.3",2023-02-06T22:34:00.000Z,how-to,integrations,0.65,True,"Reporting hardware/OS info via Azure IoT and OSConfig will involve specific reported property schemas and field names, including versioned naming changes.",unchanged
https://learn.microsoft.com/en-us/azure/osconfig/howto-firewall,Firewall,Manage host firewall with Azure IoT and OSConfig,Manage Linux host firewall using OSConfig and Azure IoT,Manage host firewall with Azure IoT and OSConfig,"Important Version 1.0.3 (published 28 June 2022) includes breaking changes to member names which may impact existing users. For more information, see:Member names transition from PascalCase to camelCase in version 1.0.3",2023-06-20T23:51:00.000Z,how-to,integrations,0.65,True,"Firewall management via OSConfig likely documents specific twin properties, rule representations, and behavior that are product-specific integration details.",unchanged
https://learn.microsoft.com/en-us/azure/osconfig/howto-hostname,Host names,Working with host names using Azure IoT and OSConfig,Manage OS hostnames using OSConfig and Azure IoT,"Using OSConfig with Azure IoT, how to get and set OS level host names","Important Version 1.0.3 (published 28 June 2022) includes breaking changes to member names which may impact existing users. For more information, see:Member names transition from PascalCase to camelCase in version 1.0.3",2022-07-05T20:42:00.000Z,how-to,integrations,0.65,True,"Covers getting and setting OS-level hostnames via Azure IoT and OSConfig; likely documents specific twin properties, payload formats, and version-specific naming changes.",unchanged
https://learn.microsoft.com/en-us/azure/osconfig/howto-hosts,Hosts file entries,Working with /etc/hosts file using Azure IoT and OSConfig,Control /etc/hosts content with OSConfig and Azure IoT,"Using OSConfig with Azure IoT, how to get and set the content of /etc/hosts","Important Version 1.0.3 (published 28 June 2022) includes breaking changes to member names which may impact existing users. For more information, see:Member names transition from PascalCase to camelCase in version 1.0.3",2022-07-25T23:10:00.000Z,how-to,integrations,0.65,True,"Describes how to get and set /etc/hosts via OSConfig; likely includes concrete property names, JSON structures, and behavior details that are product-specific.",unchanged
