url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/storage/queues/assign-azure-role-data-access,Manage access rights with Azure RBAC,Assign an Azure role for access to queue data - Azure Storage,Assign Azure RBAC roles for queue data access,Learn how to assign permissions for queue data to a Microsoft Entra security principal with Azure role-based access control (Azure RBAC). Azure Storage supports built-in and Azure custom roles for aut,"Microsoft Entra authorizes access rights to secured resources throughAzure role-based access control (Azure RBAC). Azure Storage defines a set of Azure built-in roles that encompass common sets of permissions used to access queue data. When an Azure role is assigned to a Microsoft Entra security principal, Azure grants access to those resources for that security principal. A Microsoft Entra security principal may be a user, a group, an application service principal, or amanaged identity for Azur",2024-08-28T19:22:00.000Z,how-to,security,0.9,True,"Covers assigning built-in/custom Azure roles for Queue Storage, including specific role names and their permissions over queue data.",unchanged
https://learn.microsoft.com/en-us/azure/storage/queues/authorize-access-azure-active-directory,Authorize with Azure roles,Authorize access to queues using Active Directory - Azure Storage,Authorize Azure Queue Storage with Entra ID and RBAC,Authorize access to Azure queues using Microsoft Entra ID. Assign Azure roles for access rights. Access data with a Microsoft Entra account.,"Azure Storage supports using Microsoft Entra ID to authorize requests to queue data. With Microsoft Entra ID, you can use Azure role-based access control (Azure RBAC) to grant permissions to a security principal, which may be a user, group, or application service principal. The security principal is authenticated by Microsoft Entra ID to return an OAuth 2.0 token. The token can then be used to authorize a request against the Queue service. Authorization with Microsoft Entra ID provides superior ",2023-10-12T11:16:00.000Z,concept-article,security,0.85,True,"Covers Microsoft Entra ID authorization for queues, including Azure RBAC usage and likely specific built-in roles and scopes for queue data access.",unchanged
https://learn.microsoft.com/en-us/azure/storage/queues/authorize-data-operations-cli,Azure CLI,Choose how to authorize access to queue data with Azure CLI - Azure Storage,Authorize queue data operations with Azure CLI,"Specify how to authorize data operations against queue data with the Azure CLI. You can authorize data operations using Microsoft Entra credentials, with the account access key, or with a shared acces",Azure Storage provides extensions for Azure CLI that enable you to specify how you want to authorize operations on queue data. You can authorize data operations in the following ways:,2023-10-12T11:16:00.000Z,how-to,security,0.8,True,"Describes CLI extensions and flags for choosing Entra ID, account keys, or SAS for queue data operations, including product-specific auth options.",unchanged
https://learn.microsoft.com/en-us/azure/storage/queues/authorize-data-operations-portal,Portal,Choose how to authorize access to queue data in the Azure portal - Azure Storage,Authorize queue data access in Azure portal,"When you access queue data using the Azure portal, the portal makes requests to Azure Storage under the covers. These requests to Azure Storage can be authenticated and authorized using either your Mi","When you access queue data using theAzure portal, the portal makes requests to Azure Storage under the covers. A request to Azure Storage can be authorized using either your Microsoft Entra account or the storage account access key. The portal indicates which method you're using, and enables you to switch between the two if you have the appropriate permissions.",2025-02-06T23:03:00.000Z,how-to,security,0.7,True,"Explains how portal operations against queue data are authorized via Entra ID or account keys, including specific permission requirements and modes.",unchanged
https://learn.microsoft.com/en-us/azure/storage/queues/authorize-data-operations-powershell,PowerShell,Run PowerShell commands with Microsoft Entra credentials to access queue data - Azure Storage,Use Entra credentials with PowerShell for queues,PowerShell supports signing in with Microsoft Entra credentials to run commands on Azure Queue Storage data. An access token is provided for the session and used to authorize calling operations. Permi,"Azure Storage provides extensions for PowerShell that enable you to sign in and run scripting commands with Microsoft Entra credentials. When you sign in to PowerShell with Microsoft Entra credentials, an OAuth 2.0 access token is returned. That token is automatically used by PowerShell to authorize subsequent data operations against Queue Storage. For supported operations, you no longer need to pass an account key or SAS token with the command. You can assign permissions to queue data to a Micr",2023-10-12T11:16:00.000Z,how-to,security,0.8,True,"Details PowerShell extensions for Queue Storage, including how Entra tokens are used and which roles/permissions are required for data operations.",unchanged
https://learn.microsoft.com/en-us/azure/storage/queues/client-side-encryption,Configure client-side encryption,Client-side encryption for queues - Azure Storage,Configure client-side encryption for Queue Storage,The Queue Storage client library supports client-side encryption and integration with Azure Key Vault for users requiring encryption on the client.,"The Azure Queue Storage client libraries for .NET and Python support encrypting data within client applications before uploading to Azure Storage, and decrypting data while downloading to the client. The client libraries also support integration withAzure Key Vaultfor storage account key management. Important Azure Storage supports both service-side and client-side encryption. For most scenarios, Microsoft recommends using service-side encryption features for ease of use in protecting your data.",2024-09-10T08:00:00.000Z,article,security,0.8,True,"Explains client-side encryption behavior in .NET/Python Queue Storage libraries and integration with Key Vault, including product-specific encryption settings.",unchanged
https://learn.microsoft.com/en-us/azure/storage/queues/monitor-queue-storage,Monitor Queue storage,Monitor Azure Queue Storage,Configure monitoring for Azure Queue Storage,Start here to learn how to monitor Azure Queue Storage.,"This article describes: Note If you're already familiar with this service and/or Azure Monitor and just want to know how to analyze monitoring data, see theAnalyzesection near the end of this article. When you have critical applications and business processes that rely on Azure resources, you need to monitor and get alerts for your system. The Azure Monitor service collects and aggregates metrics and logs from every component of your system. Azure Monitor provides you with a view of availability",2024-02-14T12:15:00.000Z,concept-article,configuration,0.65,True,"Service-specific monitoring article that likely enumerates metrics, diagnostic settings, and log categories for Queue Storage with configuration options.",unchanged
https://learn.microsoft.com/en-us/azure/storage/queues/monitor-queue-storage-reference,Monitoring Queue Storage data reference,Monitoring data reference for Azure Queue Storage,Reference for Queue Storage monitoring data,This article contains important reference material you need when you monitor Azure Queue Storage.,This article contains all the monitoring reference information for this service. SeeMonitor Azure Queue Storagefor details on the data you can collect for Azure Queue Storage and how to use it.,2024-08-20T05:41:00.000Z,reference,configuration,0.8,True,"Reference for all monitoring data for Queue Storage, likely listing metric names, dimensions, and log categories—detailed configuration/reference information.",unchanged
https://learn.microsoft.com/en-us/azure/storage/queues/passwordless-migrate-queues,Migrate to passwordless connections,Migrate applications to use passwordless authentication with Azure Queue Storage - Azure Storage,Migrate Queue Storage apps to passwordless auth,Learn to migrate existing applications away from Shared Key authorization with the account key to instead use Microsoft Entra ID and Azure RBAC for enhanced security with Azure Storage Queues.,"Application requests to Azure services must be authenticated using configurations such as account access keys or passwordless connections. However, you should prioritize passwordless connections in your applications when possible. Traditional authentication methods that use passwords or secret keys create security risks and complications. Visit thepasswordless connections for Azure serviceshub to learn more about the advantages of moving to passwordless connections. The following tutorial explai",2025-07-28T08:00:00.000Z,how-to,security,0.7,True,Guides migration from Shared Key to Entra ID/RBAC for queues with product-specific authentication configuration steps and considerations.,unchanged
https://learn.microsoft.com/en-us/azure/storage/queues/queues-auth-abac,Authorize with conditions,Authorize access to queues using Azure role assignment conditions - Azure Storage,Use ABAC role assignment conditions for queues,Authorize access to Azure queues using Azure role assignment conditions and Azure attribute-based access control (Azure ABAC). Define conditions on role assignments using Storage attributes.,"Attribute-based access control (ABAC) is an authorization strategy that defines access levels based on attributes associated with an access request such as the security principal, the resource, the environment and the request itself. With ABAC, you can grant a security principal access to a resource based onAzure role assignment conditions. Important Azure attribute-based access control (Azure ABAC) is generally available (GA) for controlling access to Azure Blob Storage, Azure Data Lake Storage",2025-07-02T22:09:00.000Z,concept-article,security,0.85,True,"Describes Azure ABAC for Queue Storage with role assignment conditions and storage-specific attributes, which are detailed security configuration concepts.",unchanged
