url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/storage/tables/assign-azure-role-data-access,Manage access rights with Azure RBAC,Assign an Azure role for access to table data - Azure Storage,Assign Azure RBAC roles for Azure Table data access,Learn how to assign permissions for table data to a Microsoft Entra security principal with Azure role-based access control (Azure RBAC). Azure Storage supports built-in and Azure custom roles for aut,"Microsoft Entra authorizes access rights to secured resources throughAzure role-based access control (Azure RBAC). Azure Storage defines a set of Azure built-in roles that encompass common sets of permissions used to access table data in Azure Storage. When an Azure role is assigned to a Microsoft Entra security principal, Azure grants access to those resources for that security principal. A Microsoft Entra security principal may be a user, a group, an application service principal, or amanaged ",2024-08-28T19:22:00.000Z,how-to,security,0.9,True,"Details assigning built-in and custom Azure roles for table data, including specific RBAC role names and scopes; matches security criteria.",unchanged
https://learn.microsoft.com/en-us/azure/storage/tables/authorize-access-azure-active-directory,Authenticate and authorize with Microsoft Entra ID,Authorize access to tables using Active Directory - Azure Storage,Authorize Azure Table storage with Microsoft Entra ID and RBAC,Authorize access to Azure tables using Microsoft Entra ID. Assign Azure roles for access rights. Access data with a Microsoft Entra account.,"Azure Storage supports using Microsoft Entra ID to authorize requests to table data. With Microsoft Entra ID, you can use Azure role-based access control (Azure RBAC) to grant permissions to a security principal, which may be a user, group, or application service principal. The security principal is authenticated by Microsoft Entra ID to return an OAuth 2.0 token. The token can then be used to authorize a request against the Table service. Authorizing requests against Azure Storage with Microsof",2023-10-12T11:16:00.000Z,concept-article,security,0.85,True,"Covers Entra ID authorization for table data, including Azure RBAC usage and likely specific role/permission scopes; matches security criteria.",unchanged
https://learn.microsoft.com/en-us/azure/storage/tables/monitor-table-storage,Monitor Table Storage,Monitor Azure Table Storage,Configure monitoring and alerts for Azure Table storage,Start here to learn how to monitor Azure Table Storage.,"This article describes: Note If you're already familiar with this service and/or Azure Monitor and just want to know how to analyze monitoring data, see theAnalyzesection near the end of this article. When you have critical applications and business processes that rely on Azure resources, you need to monitor and get alerts for your system. The Azure Monitor service collects and aggregates metrics and logs from every component of your system. Azure Monitor provides you with a view of availability",2024-02-14T12:15:00.000Z,concept-article,configuration,0.65,True,"Service-specific monitoring setup using Azure Monitor, likely including metric/log categories and configuration options; fits configuration of monitoring features.",unchanged
https://learn.microsoft.com/en-us/azure/storage/tables/monitor-table-storage-reference,Monitoring Table Storage data reference,Monitoring data reference for Azure Table Storage,Reference monitoring metrics and logs for Azure Table storage,This article contains important reference material you need when you monitor Azure Table Storage.,This article contains all the monitoring reference information for this service. SeeMonitor Azure Table Storagefor details on the data you can collect for Azure Table Storage and how to use it.,2024-08-20T05:41:00.000Z,reference,configuration,0.8,True,Monitoring data reference with specific metric/log names and fields; configuration/telemetry reference unique to this service.,unchanged
https://learn.microsoft.com/en-us/azure/storage/tables/scalability-targets,Table storage,Scalability and performance targets for Table storage - Azure Storage,Azure Table storage scalability and performance limits,Learn about scalability and performance targets for Table storage.,"This reference details scalability and performance targets for Azure Storage. The scalability and performance targets listed here are high-end targets, but they're achievable. In all cases, the request rate and bandwidth that your storage account achieves depend on the size of objects stored, the access patterns used, and the type of workload your application performs. Make sure to test your service to determine whether its performance meets your requirements. If possible, avoid sudden spikes in",2025-07-02T22:09:00.000Z,concept-article,limits-quotas,0.95,True,"Page documents specific scalability and performance targets for Azure Table storage, including exact request rate, bandwidth, and partition/account-level limits that are not generally known from training data.",unchanged
https://learn.microsoft.com/en-us/azure/storage/tables/storage-performance-checklist,Performance and scalability checklist,Performance and scalability checklist for Table storage - Azure Storage,Apply performance and scalability best practices for Azure Table storage,A checklist of proven practices for use with Table storage in developing high-performance applications.,"Microsoft has developed many proven practices for developing high-performance applications with Table storage. This checklist identifies key practices that developers can follow to optimize performance. Keep these practices in mind while you're designing your application and throughout the process. Azure Storage has scalability and performance targets for capacity, transaction rate, and bandwidth. For more information about Azure Storage scalability targets, seeScalability and performance target",2022-11-29T18:03:00.000Z,overview,best-practices,0.8,True,"Explicit performance checklist with proven, product-specific practices for Table storage; actionable DO/DON'T guidance rather than theory.",unchanged
https://learn.microsoft.com/en-us/azure/storage/tables/table-storage-design,Design scalable and performant tables,Design scalable and performant tables in Azure Table storage.,"Design scalable, cost-efficient schemas in Azure Table storage","Learn to design scalable and performant tables in Azure Table storage. Review table partitions, Entity Group Transactions, and capacity and cost considerations.","Tip The content in this article applies to the original Azure Table storage. However, the same concepts apply to the newer Azure Cosmos DB for Table, which offers higher performance and availability, global distribution, and automatic secondary indexes. It is also available in a consumption-basedserverlessmode. There are somefeature differencesbetween Table API in Azure Cosmos DB and Azure Table storage. For more information, seeAzure Cosmos DB for Table. For ease of development, we now provide ",2023-01-11T12:12:00.000Z,article,architecture-patterns,0.7,True,"Deep design guidance on partitions, entity group transactions, capacity and cost trade-offs; Table-storage-specific patterns and decisions.",unchanged
https://learn.microsoft.com/en-us/azure/storage/tables/table-storage-design-for-modification,Design for data modification,Design Azure Table storage for data modification,Design Azure Table storage for efficient data modification,"Design tables for data modification in Azure Table storage. Optimize insert, update, and delete operations. Ensure consistency in your stored entities.","This article focuses on the design considerations for optimizing inserts, updates, and deletes. In some cases, you will need to evaluate the trade-off between designs that optimize for querying against designs that optimize for data modification just as you do in designs for relational databases (although the techniques for managing the design trade-offs are different in a relational database). The section Table Design Patterns describes some detailed design patterns for the Table service and hi",2022-11-21T18:08:00.000Z,article,architecture-patterns,0.75,True,Discusses trade-offs between query and write optimization and includes Table-specific design patterns; fits architecture-patterns.,unchanged
https://learn.microsoft.com/en-us/azure/storage/tables/table-storage-design-for-query,Design for querying,Design Azure Table storage for queries,Design Azure Table storage schemas optimized for queries,"Design tables for queries in Azure Table storage. Choose an appropriate partition key, optimize queries, and sort data for the Table service.","Table service solutions may be read intensive, write intensive, or a mix of the two. This article focuses on the things to bear in mind when you are designing your Table service to support read operations efficiently. Typically, a design that supports read operations efficiently is also efficient for write operations. However, there are additional considerations to bear in mind when designing to support write operations, discussed in the articleDesign for data modification. A good starting point",2023-05-19T08:00:00.000Z,article,architecture-patterns,0.75,True,"Covers partition key choices, query optimization, and sort strategies specific to Table storage; architecture and pattern-focused.",unchanged
https://learn.microsoft.com/en-us/azure/storage/tables/table-storage-design-guidelines,Guidelines for table design,Guidelines for Azure storage table design,Apply Azure Table storage design guidelines for efficient access,Understand guidelines for designing your Azure storage table service to support read and write operations efficiently.,Designing tables for use with the Azure storage table service is very different from design considerations for a relational database. This article describes guidelines for designing your Table service solution to be read efficient and write efficient.,2022-11-21T18:08:00.000Z,article,architecture-patterns,0.75,True,Guidelines for read/write-efficient table designs specific to Azure Table service; focuses on design patterns and trade-offs.,unchanged
