url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/asn-asset-filters,ASN asset filters,ASN Asset Filters - Defender ASN domain asset filters,Configure ASN asset filters in Defender EASM,"This article outlines the filter functionality available in Microsoft Defender External Attack Surface Management for ASN assets specifically, including operators and applicable field values.",These filters specifically apply to ASN assets. Use these filters when searching for a specific ASN or group of ASNs.,2026-05-18T17:39:00.000Z,how-to,configuration,0.8,True,"ASN asset filters article defines filter fields and operators for ASN assets, giving detailed configuration options and allowed values.",unchanged
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/contact-asset-filters,Contact asset filters,Contact Asset Filters - Defender EASM contact asset filters,Configure contact asset filters in Defender EASM,"This article outlines the filter functionality available in Microsoft Defender External Attack Surface Management for contact assets specifically, including operators and applicable field values.",These filters specifically apply to contact assets. Use these filters when searching for a specific contact.,2026-05-18T17:39:00.000Z,how-to,configuration,0.8,True,"Contact asset filters article describes filter fields and operators for contact assets, providing detailed configuration options unique to Defender EASM.",unchanged
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/data-connections,Leverage data connections,Defender EASM Data Connections,Configure Defender EASM data connections to Log Analytics and ADX,The data connector sends Defender EASM asset data to Log Analytics and Azure Data Explorer. You can export Defender EASM data to either tool.,This article discusses the data connections feature in Microsoft Defender External Attack Surface Management (Defender EASM).,2026-05-18T17:39:00.000Z,how-to,configuration,0.65,True,"Data connections article for exporting EASM asset data to Log Analytics and Azure Data Explorer likely includes connector configuration options, parameter names, and possibly default behaviors, which are product-specific configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/deploying-the-defender-easm-azure-resource,Deploy the Defender EASM Azure resource,Create a Defender EASM Azure Resource,,This article explains how to create a Microsoft Defender External Attack Surface Management (Defender EASM) Azure resource by using the Azure portal.,"This article explains how to create a Microsoft Defender External Attack Surface Management (Defender EASM) Azure resource by using the Azure portal. Users can begin their usage of Defender EASM with a 30-day free trial. Once the trial is nearing expiration, you will be notified via banners and push notifications. Creating the Defender EASM Azure resource involves two steps:",2026-05-18T17:39:00.000Z,quickstart,,0.4,False,"Explains how to create a Defender EASM Azure resource via portal and mentions trial notifications; appears as a step-by-step creation guide without deployment matrices, limits, or detailed configuration tables.",unchanged
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/discovering-your-attack-surface,Discover your attack surface,Discover Your Attack Surface,,"Microsoft has preemptively configured the attack surfaces of many organizations, mapping their initial attack surface by discovering infrastructure that’s connected to known assets.",,2026-05-18T17:39:00.000Z,tutorial,,0.25,False,Describes preemptive configuration of attack surfaces by Microsoft; summary suggests a conceptual/marketing-style description rather than detailed technical configuration or limits.,unchanged
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/domain-asset-filters,Domain asset filters,Domain Asset Filters - Defender EASM domain asset filters,Configure domain asset filters in Defender EASM,"This article outlines the filter functionality available in Microsoft Defender External Attack Surface Management for domain assets specifically, including operators and applicable field values.",These filters specifically apply to domain assets. Use these filters when searching for a specific subset of domain assets.,2026-05-18T17:39:00.000Z,how-to,configuration,0.8,True,"Domain asset filters article focuses on operators and applicable field values for domain assets, which is a table-like set of configuration options and allowed values specific to Defender EASM.",unchanged
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/easm-copilot,Microsoft Security Copilot and Defender EASM,Microsoft Security Copilot in Defender EASM,,Learn how to use Microsoft Security Copilot to get information about your Microsoft Defender External Attack Surface Management (Defender EASM) data.,"Microsoft Defender External Attack Surface Management (Defender EASM) continuously discovers and maps your digital attack surface to provide an external view of your online infrastructure. This visibility helps security and IT teams identify unknowns, prioritize risk, eliminate threats, and extend vulnerability and exposure control beyond the firewall. Attack surface insights are generated by analyzing vulnerability and infrastructure data to showcase the key areas of concern for your organizati",2026-04-24T17:58:00.000Z,integration,,0.35,False,Explains using Microsoft Security Copilot with Defender EASM data; appears as a feature overview/integration usage without detailed parameter tables or error codes.,unchanged
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/host-asset-filters,Host asset filters,Host Asset Filters - Defender EASM host asset filters,Configure host asset filters in Defender EASM,"This article outlines the filter functionality available in Microsoft Defender External Attack Surface Management for host assets specifically, including operators and applicable field values.",These filters specifically apply to host assets. Use these filters when searching for a specific subset of host assets.,2026-05-18T17:39:00.000Z,how-to,configuration,0.8,True,"Host asset filters article defines filter fields, operators, and valid values for host assets, representing detailed configuration options for this product.",unchanged
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/inventory-filters,Inventory filters overview,Inventory Filters Overview - Defender EASM inventory filters overview,Use Defender EASM inventory filters and saved queries,This article outlines the filter functionality available in Defender EASM to help you find specific subsets of inventory assets based on selected parameters.,This article outlines the filter functionality available in Microsoft Defender External Attack Surface Management (Defender EASM). Filtering helps you find specific subsets of inventory assets based on selected parameters. This article outlines each filter and operator and provides guidance on input options that yield the best results. It also explains how to save queries for easy accessibility to the filtered results.,2026-05-18T17:39:00.000Z,how-to,configuration,0.75,True,"Filter overview describes each filter and operator and guidance on input options; such pages typically list field names, operators, and allowed values, which are configuration parameters unique to this product.",unchanged
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/ip-address-asset-filters,IP address asset filters,IP Address Asset Filters - Defender EASM IP address asset filters,Configure IP address asset filters in Defender EASM,"This article outlines the filter functionality available in Microsoft Defender External Attack Surface Management for IP address assets specifically, including operators and applicable field values.",These filters specifically apply to IP address assets. Use these filters when searching for a specific subset of IPs.,2026-05-18T17:39:00.000Z,how-to,configuration,0.8,True,"IP address asset filters article lists filter fields and operators for IP assets, representing product-specific configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/ip-block-asset-filters,IP block asset filters,IP Block Asset Filters - Defender EASM IP block asset filters,Configure IP block asset filters in Defender EASM,"This article outlines the filter functionality available in Microsoft Defender External Attack Surface Management for IP block assets specifically, including operators and applicable field values.",These filters specifically apply to IP block assets. Use these filters when searching for a specific subset of IP blocks.,2026-05-18T17:39:00.000Z,how-to,configuration,0.8,True,"IP block asset filters article provides filter names, operators, and applicable values for IP block assets, which are configuration parameters unique to this service.",unchanged
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/modifying-inventory-assets,Modify inventory assets,Modify Inventory Assets,,This article outlines how to update assets with customized text labels to categorize and make use of inventory data.,"This article outlines how to modify inventory assets. You can change the state of an asset, assign an external ID or apply labels to help provide context and use inventory data. You can also mark CVEs and other observations as non-applicable to remove them from your reported counts. You can also remove assets from their inventory in bulk based on the method with which they are discovered. For instance, users can remove a seed from a discovery group and elect to remove any assets that are discove",2026-05-18T17:39:00.000Z,how-to,,0.3,False,"Covers modifying inventory assets (states, labels, CVEs) but appears as general UI/task guidance without detailed configuration tables or numeric constraints.",unchanged
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/overview,Overview,Defender EASM Overview,,Learn how Microsoft Defender External Attack Surface Management (Defender EASM) continuously discovers and maps your digital attack surface to give you an external view of your online infrastructure.,"Microsoft Defender External Attack Surface Management (Defender EASM) continuously discovers and maps your digital attack surface to give you an external view of your online infrastructure. Defender EASM gives your security and IT teams essential visibility to help them identify unknowns, prioritize risk, eliminate threats, and extend control of vulnerabilities and exposure beyond the firewall. Attack surface insights are generated by using vulnerability and infrastructure data to showcase key a",2026-04-24T17:58:00.000Z,overview,,0.2,False,"High-level product overview of Defender EASM; no concrete limits, configs, error codes, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/page-asset-filters,Page asset filters,Page Asset Filters - Defender EASM page asset filters,Configure page asset filters in Defender EASM,"This article outlines the filter functionality available in Microsoft Defender External Attack Surface Management for page assets specifically, including operators and applicable field values.",These filters specifically apply to page assets. Use these filters when searching for a specific subset of page assets.,2026-05-18T17:39:00.000Z,how-to,configuration,0.8,True,"Page asset filters article lists filter names, operators, and applicable values for page assets, which are product-specific configuration parameters.",unchanged
